ecli,sentencia_ref,sentencia_nombre,sentencia_fecha,sentencia_año,legislacion_ref,legislacion_nombre,tipo_vinculo,articulos_aplicados,descripcion_vinculo
ECLI:EU:C:2024:214,C-659/22,IAB Europe (TCF y corresponsabilidad),07/03/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 4.1 4.7 y 26 RGPD,El TJUE aplicó las definiciones de dato personal (art. 4.1) y responsable (art. 4.7) y el régimen de corresponsabilidad del art. 26 RGPD al Transparency and Consent Framework de IAB Europe.
ECLI:EU:C:2023:1022,C-667/21,Krankenversicherung Nordrhein (complemento daños propios del DPO),21/12/2023,2023,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Art. 8 CDFUE,El TJUE conectó el tratamiento de datos de salud en el ámbito laboral con el derecho a la protección de datos del art. 8 CDFUE exigiendo que la excepción del art. 9.2.h) RGPD para datos de salud en el contexto laboral se interprete de forma estricta y proporcionada.
ECLI:EU:C:2023:1022,C-667/21,Krankenversicherung Nordrhein (datos de salud),21/12/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 9 y 6 RGPD,El TJUE analizó las excepciones del art. 9.2 RGPD para el tratamiento de datos de salud en el ámbito de seguros de enfermedad y los límites de la reutilización con fines distintos.
ECLI:EU:C:2019:801,C-673/17,Planet49 (cookies y consentimiento),01/10/2019,2019,Dir. 2002/58/CE,Directiva ePrivacy — Privacidad en comunicaciones electrónicas,Interpretación,Art. 5.3 ePrivacy,El TJUE interpretó el art. 5.3 de la Directiva ePrivacy declarando que las casillas premarcadas no constituyen consentimiento válido para cookies.
ECLI:EU:C:2019:801,C-673/17,Planet49 (cookies y consentimiento),01/10/2019,2019,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 4.11 y 7 RGPD,El TJUE aplicó la definición de consentimiento del art. 4.11 y los requisitos del art. 7 RGPD para evaluar la validez del consentimiento para cookies.
ECLI:EU:C:2023:949,C-683/21,Nacionalinis (sanciones RGPD — culpa),05/12/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 83 RGPD,El TJUE interpretó los requisitos del art. 83 RGPD para la imposición de sanciones a organismos públicos sin necesidad de identificar a la persona física responsable dentro de la organización.
ECLI:EU:C:2024:72,C-687/21,BL v MediaMarktSaturn (daños hipotéticos),25/01/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 82 RGPD,El TJUE precisó que el daño alegado bajo el art. 82 RGPD no puede ser meramente hipotético: debe ser real efectivo y causalmente vinculado a la infracción concreta del RGPD.
ECLI:EU:C:2024:320,C-741/21,GP v Juris GmbH (no acumulación de daños),11/04/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 82 RGPD,El TJUE aclaró que el carácter compensatorio del art. 82 RGPD impide acumular o duplicar la cuantía del daño cuando una misma actividad infringe varios preceptos del RGPD.
ECLI:EU:C:2021:152,C-746/18,Prokuratuur (acceso a datos de comunicaciones electrónicas),02/03/2021,2021,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE / Art. 52.1 CDFUE,El acceso a datos de comunicaciones debe superar el test de proporcionalidad del art. 52.1 CDFUE y respetar el contenido esencial de los derechos fundamentales de los arts. 7 y 8 CDFUE.
ECLI:EU:C:2021:152,C-746/18,Prokuratuur (acceso a datos de comunicaciones electrónicas),02/03/2021,2021,Dir. 2002/58/CE,Directiva ePrivacy — Privacidad en comunicaciones electrónicas,Interpretación,Art. 15 ePrivacy,El TJUE estableció que el acceso de la Fiscalía a datos de tráfico y localización sólo puede autorizarse en el marco de procedimientos de lucha contra la delincuencia grave. Exige control previo por un órgano jurisdiccional o autoridad administrativa independiente.
ECLI:EU:C:2024:202,C-755/21,Kočner v Europol (daños filtración mensajes),05/03/2024,2024,Regl. (UE) 2018/1725,EUDPR — Protección de datos en instituciones UE,Interpretación,Arts. 50 y 56 Regl. Europol / Art. 82 RGPD (por analogía),El TJUE aplicó el régimen de responsabilidad de Europol en materia de protección de datos cuantificando por primera vez en 2.000 euros un daño no material por filtración de datos personales íntimos.
ECLI:EU:C:2024:795,C-768/21,Land Hessen v FR (discrecionalidad supervisora),26/09/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 57 y 58 RGPD,El TJUE aclaró que los poderes correctores de los arts. 57 y 58 RGPD no son de ejercicio automático: las autoridades de control disponen de margen de apreciación sobre la necesidad y proporcionalidad de las medidas.
ECLI:EU:C:2023:688,C-77/20,Land Hessen v RW (videovigilancia en la empresa y datos de acceso),30/03/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 6.1 y 88 RGPD,El TJUE aclaró las condiciones bajo las que el empleador puede instalar sistemas de videovigilancia y control de acceso en el entorno laboral. El art. 88 RGPD permite a los Estados miembros adoptar normas específicas para el tratamiento de datos en el contexto laboral siempre que sean más protectoras.
ECLI:EU:C:2023:371,C-77/21,Digi Távközlési (limitación conservación) — complemento principio de exactitud,04/05/2023,2023,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Art. 8 CDFUE,Complementando el análisis del RGPD el TJUE también fundamentó el principio de limitación de conservación en el art. 8 CDFUE reforzando que la conservación indefinida de datos en bases de prueba viola directamente la Carta aunque exista base jurídica inicial para el tratamiento.
ECLI:EU:C:2023:371,C-77/21,Digi Távközlési (bases de datos de pruebas),04/05/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5.1.b) y 5.1.e) RGPD,El TJUE interpretó los principios de limitación de finalidad (art. 5.1.b) y limitación de conservación (art. 5.1.e) del RGPD aplicados a bases de datos de pruebas de sistemas informáticos.
ECLI:EU:C:2023:950,C-807/21,Deutsche Wohnen (cálculo de sanciones y dolo),05/12/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 83 RGPD,El TJUE aclaró que el art. 83 RGPD exige dolo o negligencia para sancionar y que las personas jurídicas pueden ser sancionadas directamente sin identificar a la persona física causante.
ECLI:EU:C:2022:491,C-817/19,Ligue des droits humains (PNR vuelos intra-UE),21/06/2022,2022,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE / Art. 52.1 CDFUE,El TJUE aplicó el test de proporcionalidad del art. 52.1 CDFUE para evaluar si las limitaciones de los derechos fundamentales de los arts. 7 y 8 CDFUE impuestas por la Directiva PNR eran justificadas.
ECLI:EU:C:2022:491,C-817/19,Ligue des droits humains (PNR vuelos intra-UE),21/06/2022,2022,Dir. (UE) 2016/681,PNR — Registro de Nombres de Pasajeros Aéreos,Interpretación y límites,Arts. 1-9 Dir. PNR,El TJUE analizó en profundidad la Directiva PNR e impuso límites estrictos a su aplicación para vuelos intra-UE por exceder lo estrictamente necesario para combatir el terrorismo.
ECLI:EU:C:2026:(pendiente),C-97/23 P,WhatsApp Ireland v EDPB (control judicial de decisiones vinculantes del EDPB),10/02/2026,2026,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Art. 47 CDFUE,El TJUE fundamentó el acceso a la justicia frente a las decisiones del EDPB en el derecho a la tutela judicial efectiva del art. 47 CDFUE: la revisión judicial no puede diferirse indefinidamente a procedimientos nacionales cuando un acto de un organismo de la UE ya ha alterado definitivamente la posición jurídica del interesado.
ECLI:EU:C:2026:(pendiente),C-97/23 P,WhatsApp Ireland v EDPB (control judicial de decisiones vinculantes del EDPB),10/02/2026,2026,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 60 65 y 263 TFUE,El TJUE declaró que las decisiones vinculantes del EDPB adoptadas en el mecanismo de resolución de disputas del art. 65 RGPD son actos recurribles directamente ante los tribunales de la UE. Las empresas afectadas por dichas decisiones pueden impugnarlas ante el Tribunal General sin esperar a la decisión final de la autoridad nacional. La sentencia abre la puerta a una litigación dual: ante el Tribunal General contra la decisión del EDPB y ante los tribunales nacionales contra la decisión de ejecución de la autoridad supervisora. El caso se devuelve al Tribunal General para resolver el fondo: si WhatsApp infringió el RGPD y si la multa de 225 millones de euros es proporcionada.
ECLI:EU:T:2025:8,T-354/22,Bindl v Comisión Europea (IP a EE.UU. — 400 €),08/01/2025,2025,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación por analogía,Arts. 44 y 82 RGPD,Aunque el EUDPR es la norma directamente aplicable a las instituciones UE,ECLI:EU:T:2025:8
ECLI:EU:T:2025:8,T-354/22,Bindl v Comisión Europea (IP a EE.UU. — 400 €),08/01/2025,2025,Regl. (UE) 2018/1725,EUDPR — Protección de datos en instituciones UE,Interpretación,Arts. 44 y 48 Regl. 2018/1725,El Tribunal General aplicó el art. 44 del EUDPR (equivalente al art. 44 RGPD) para declarar ilícita la transferencia de la IP del usuario a Google en EE.UU. a través del botón Sign in with Google.
ECLI:EU:C:2023:958,C-26/22 y C-64/22,SCHUFA (scoring crediticio — art. 22 RGPD),07/12/2023,2023,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Art. 86 AI Act,El TJUE estableció en esta sentencia la primera interpretación del art. 22 RGPD sobre decisiones automatizadas. El art. 86 AI Act —que obliga a los desplegadores de sistemas de IA de alto riesgo a proporcionar explicaciones significativas sobre el papel de la IA en la decisión— se apoya directamente en los criterios de esta sentencia sobre qué constituye una explicación suficiente de la lógica automatizada.
ECLI:EU:C:2025:130,C-203/22,Dun & Bradstreet Austria (decisiones automatizadas y secreto comercial),27/02/2025,2025,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Art. 86 AI Act,El TJUE clarificó que el secreto comercial no puede utilizarse para denegar por completo la información sobre la lógica de un sistema de scoring automatizado. La doctrina es directamente trasladable al art. 86 AI Act que exige explicaciones claras y significativas del papel del sistema de IA en decisiones que afectan a los interesados.
ECLI:EU:C:2025:(pendiente),C-492/23,Plataformas como responsables de anuncios de usuario,02/12/2025,2025,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Arts. 5.1.b) y 9 AI Act,El TJUE declaró que los operadores de mercados en línea son responsables del tratamiento de datos sensibles en anuncios generados por usuarios. Esta doctrina es directamente aplicable al art. 5.1.b) AI Act que prohíbe los sistemas de IA que categoricen personas físicas basándose en datos biométricos para inferir características protegidas como la raza o la orientación sexual.
ECLI:EU:C:2023:741,C-446/21,Schrems v Meta (publicidad personalizada y datos sensibles),04/10/2023,2023,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Arts. 5.1.b) y 10 AI Act,El TJUE aplicó el principio de minimización al uso de datos sensibles en publicidad personalizada por sistemas algorítmicos. Esta doctrina es fundamento del art. 5.1.b) AI Act que prohíbe los sistemas de categorización biométrica para inferir datos sensibles y del art. 10 AI Act que impone requisitos de gobernanza de datos a los sistemas de IA de alto riesgo.
ECLI:EU:C:2022:491,C-817/19,Ligue des droits humains (PNR vuelos intra-UE),21/06/2022,2022,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Arts. 5.1.h) y 26 AI Act,El TJUE estableció estrictos criterios de proporcionalidad para el uso de datos masivos de pasajeros en análisis predictivos policiales. Estos criterios constituyen el referente jurisprudencial para la interpretación del art. 5.1.h) AI Act que prohíbe los sistemas de identificación biométrica remota en tiempo real con fines policiales salvo excepciones tasadas y del art. 26 AI Act sobre la evaluación de impacto en derechos fundamentales.
ECLI:EU:C:2023:537,C-252/21,Bundeskartellamt v Meta (antitrust + RGPD),04/07/2023,2023,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Arts. 5.1.c) y 9 AI Act,El TJUE declaró ilícita la agregación ilimitada de datos para perfilado publicitario automatizado. La doctrina es fundamento interpretativo del art. 5.1.c) AI Act que prohíbe el scoring social por poderes públicos y del art. 9 AI Act sobre los sistemas de gestión de riesgos que deben adoptar los proveedores de sistemas de IA de alto riesgo que traten datos personales a gran escala.
ECLI:EU:C:2023:958,C-26/22 y C-64/22,SCHUFA — complemento evaluación de riesgo crediticio,07/12/2023,2023,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Anexo III punto 5.b) AI Act,Los sistemas de evaluación de la solvencia crediticia y puntuación de crédito de personas físicas están expresamente incluidos en el Anexo III del AI Act como sistemas de IA de alto riesgo. La sentencia SCHUFA es el precedente jurisprudencial que define el marco de derechos de los afectados por dichos sistemas bajo el RGPD que el AI Act presupone y complementa.
ECLI:EU:C:2026:(pendiente),C-526/24,Brillen Rottler (solicitudes de acceso abusivas — GDPR hopping),19/03/2026,2026,Regl. (UE) 2024/1689,AI Act — Reglamento de Inteligencia Artificial,Precedente interpretativo,Art. 86 AI Act,La sentencia del TJUE sobre solicitudes abusivas del derecho de acceso tiene relevancia directa para el art. 86 AI Act que reconoce el derecho de las personas afectadas a solicitar explicaciones sobre las decisiones adoptadas por sistemas de IA de alto riesgo. El TJUE aclaró los límites del ejercicio abusivo de derechos de información que también encuadran el art. 86 AI Act.
ECLI:EU:C:2023:371,C-60/22,UZ v Bundesrepublik Deutschland (infracción RGPD no invalida todo el tratamiento),04/05/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5 24 y 26 RGPD,El TJUE estableció que no toda infracción del RGPD convierte en ilícito todo el tratamiento de datos relacionado. La violación de obligaciones de responsabilidad proactiva como el deber de formalizar un acuerdo de corresponsabilidad del art. 26 o de mantener el registro de actividades del art. 30 no hace automáticamente ilícita la base jurídica del tratamiento subyacente. Cada infracción debe evaluarse de forma autónoma. Sentencia directamente conectada con C-683/21 y C-807/21 sobre el régimen sancionador y la corresponsabilidad.
ECLI:EU:C:2024:861,C-21/23,ND v DR (medicamentos sin receta en línea como datos de salud),04/10/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 9 RGPD,El TJUE declaró que la información que los clientes facilitan al comprar medicamentos sin receta en línea constituye datos de categoría especial relativos a la salud conforme al art. 9 RGPD. Es irrelevante que la deducción sea exacta o que el responsable tuviera intención de obtener datos de salud: basta con que exista una probabilidad razonable de que los productos adquiridos estén destinados al tratamiento de una afección. Sentencia directamente conectada con C-667/21 sobre el tratamiento de datos de salud.
